file,document_id,published,section,genre,authors,words,headline_en,url
2026-06-26_pro_who-negotiates-europe-brussels-or-most-powerful_ld10013007,10013007,2026-06-26,Pro,,Ulrich Speck,1610,Who negotiates for Europe: Brussels or the most powerful member states?,https://www.nzz.ch/pro/wer-verhandelt-fuer-europa-bruessel-oder-die-maechtigsten-mitgliedstaaten-ld.10013007
2025-09-10_pro_russia-can-continue-war-full-force-another_ld1900942,1900942,2025-09-10,Pro,,Peter Rásonyi,1682,Russia can continue the war at full force for another year – after that it will become more difficult,https://www.nzz.ch/pro/russland-kann-den-krieg-noch-ein-weiteres-jahr-mit-voller-kraft-fuehren-danach-wird-es-schwieriger-ld.1900942
2025-12-03_pro_venezuela-what-goals-does-trump-pursue-naval_ld1914561,1914561,2025-12-03,Pro,,Peter Rásonyi,2077,Why Venezuela? What goals does Trump pursue with his naval force – and which ones are less likely to be pursued?,https://www.nzz.ch/pro/warum-venezuela-welche-ziele-trump-mit-seinem-gewaltigen-flottenverband-anstreben-koennte-und-welche-eher-nicht-ld.1914561
2025-09-29_pro_airspace-violations-drone-overflights-sabotage-what-west_ld1904397,1904397,2025-09-29,Pro,,"Marco Seliger, Berlin",1610,"Airspace violations, drone overflights, sabotage – what the West must now do about the Russian provocations",https://www.nzz.ch/pro/russische-nadelstiche-und-provokationen-wie-europa-jetzt-reagieren-ld.1904397
2026-08-04_schweiz_swiss-hidden-tax-state-collects-up-23_ld10017306,10017306,2026-08-04,Schweiz,,Leander Isler,1574,The Swiss «hidden tax»: how the state collects up to 23 billion Swiss francs that were never voted on,https://www.nzz.ch/schweiz/die-schweizer-hidden-tax-wie-der-staat-bis-zu-23-milliarden-einkassiert-ueber-die-nie-abgestimmt-wurde-ld.10017306
2024-09-07_schweiz_forged-signatures-false-forecasts-unclear-proposals-democracy_ld1846968,1846968,2024-09-07,Schweiz,,"Simon Marti, Thomas Müller and Nicole Althaus (text), Silas Zindel (images)",1686,"Forged signatures, false forecasts, unclear proposals: Is democracy in crisis?",https://www.nzz.ch/schweiz/demokratie-in-der-krise-ld.1846968
2025-03-10_schweiz_trump-s-tariffs-wage-protection-helene-budliger_ld1873921,1873921,2025-03-10,Schweiz,,"Tobias Gafafer (text), Annick Ramp (images)",1850,From Trump's tariffs to wage protection: Helene Budliger is Parmelin's woman for the delicate missions,https://www.nzz.ch/schweiz/von-trumps-zoellen-bis-zum-lohnschutz-helene-budliger-ist-parmelins-frau-fuer-die-heiklen-missionen-ld.1873921
2025-11-23_schweiz_switzerland-wants-egypt-keep-migrants-away-europe_ld1912591,1912591,2025-11-23,Schweiz,,"Ladina Triaca, Cairo, Peter Klaunzer / Keystone (pictures), Cairo",1674,"Switzerland wants Egypt to keep migrants away from Europe. To achieve this, the Federal Council intends to cooperate with the regime on the Nile. But at what cost?",https://www.nzz.ch/schweiz/die-schweiz-will-dass-aegypten-migranten-von-der-reise-nach-europa-abhaelt-dafuer-ist-der-bundesrat-bereit-mit-dem-regime-am-nil-zu-kooperieren-doch-zu-welchem-preis-ld.1912591
2026-05-18_technologie_power-through-computing-europe-aims-secure-future_ld1934446,1934446,2026-05-18,Technologie,,"Kalina Oroschakoff, Roland Shaw, Joana Kelén",1894,Power through computing: how Europe aims to secure its future with a massive data center expansion,https://www.nzz.ch/technologie/das-zeitalter-der-datenzentren-der-globale-wettlauf-um-die-infrastruktur-der-kuenstlichen-intelligenz-ld.1934446
2026-06-01_technologie_milan-s-data-center-crosshairs-precursor-europe_ld10005597,10005597,2026-06-01,Technologie,,"Kalina Oroschakoff, Roland Shaw, Joana Kelen",1652,Milan's data center in the crosshairs: The precursor to Europe's looming water conflict,https://www.nzz.ch/technologie/mailands-datencenter-im-visier-das-vorbeben-fuer-europas-drohenden-wasserkonflikt-ld.10005597
2026-06-30_technologie_cornfields-meta-ai-dividing-poor-part-america_ld10005600,10005600,2026-06-30,Technologie,,"Marie-Astrid Langer, Rayville (text and photos), Roland Shaw, Joana Kelén, Kalina Oroschakoff",2380,Cornfields for Meta: how AI is dividing a poor part of America,https://www.nzz.ch/technologie/maisfelder-fuer-meta-wie-ki-ein-armes-stueck-amerika-spaltet-ld.10005600
2026-03-08_technologie_ten-ideas-better-social-networks-tech-companies_ld1926585,1926585,2026-03-08,Technologie,,"Ruth Fulterer, Gioia da Silva, Olivia Fischer (illustration)",1859,Ten ideas for better social networks that tech companies have kept quiet about,https://www.nzz.ch/technologie/zehn-ideen-fuer-bessere-soziale-netzwerke-die-tech-firmen-verschwiegen-haben-ld.1926585
2026-02-15_wissenschaft_startups-pushing-boundaries-reproductive-medicine-their-latest_ld1919231,1919231,2026-02-15,Wissenschaft,,Martin Amrein,1769,Startups are pushing the boundaries of reproductive medicine. Their latest goal: genetically modified babies.,https://www.nzz.ch/wissenschaft/crispr-startups-wollen-die-gene-von-babys-veraendern-ld.1919231
2024-11-10_wissenschaft_oil-industry-executive-chairing-year-s-un_ld1854123,1854123,2024-11-10,Wissenschaft,,Christian Schwägerl,1773,An oil industry executive is chairing this year's UN climate conference in Baku. Climate policy experts view Mukhtar Babayev with skepticism,https://www.nzz.ch/wissenschaft/ein-mann-aus-der-oelindustrie-leitet-die-diesjaehrige-uno-klimakonferenz-in-baku-fachleute-fuer-klimapolitik-sehen-muchtar-babajew-skeptisch-ld.1854123
2026-05-23_wissenschaft_fraud-spice-aisle-when-saffron-adulterated-toxic_ld10006706,10006706,2026-05-23,Wissenschaft,,Uta Neubauer,1562,Fraud in the spice aisle: when saffron is adulterated with toxic dyes,https://www.nzz.ch/wissenschaft/betrug-im-gewuerzregal-oregano-und-safran-oft-verfaelscht-ld.10006706
2025-02-08_gesellschaft_swiss-healthcare-system-ailing-can-it-be_ld1865069,1865069,2025-02-08,Gesellschaft,,"Peter Ackermann (text), Olivia Meyer (illustrations)",4426,The Swiss healthcare system is ailing. How can it be restored to health?,https://www.nzz.ch/gesellschaft/diagnose-teuer-und-ungerecht-das-rezept-fuer-ein-guenstigeres-und-fairerers-gesundheitssystempatientdie-krankenkassenpraemien-belasten-den-mittelstand-so-kann-das-gesundheitssystem-geheilt-werdnedas-schweizer-gesundheitssystem-ist-teuer-und-ungerecht-wie-saehe-ethisch-betrachtet-ein-gesundes-aus-ld.1865069
2026-05-23_gesellschaft_psychiatric-nursing-where-does-responsibility-another-person_ld10006177,10006177,2026-05-23,Gesellschaft,,"Manuel Stark (text), Annick Ramp (images)",4195,Psychiatric nursing: Where does responsibility for another person's life end?,https://www.nzz.ch/gesellschaft/erfahrungen-aus-der-psychiatrischen-pflege-wo-endet-verantwortung-ld.10006177
2025-07-26_gesellschaft_illusion-italiani-brava-gente-country-has-been_ld1883275,1883275,2025-07-26,Gesellschaft,,"Giorgio Scherrer (text), Massimiliano Corteselli (images)",3219,"The illusion of «Italiani, brava gente»: A country has been downplaying fascism for eighty years – and cannot shake it off.",https://www.nzz.ch/gesellschaft/die-illusion-der-italiani-brava-gente-ein-land-verharmlost-seit-achtzig-jahren-den-faschismus-und-kommt-nicht-von-ihm-los-ld.1883275
2025-01-28_english_india-buying-lots-crude-oil-russia-who_ld1867852,1867852,2025-01-28,NZZ in English,International View,Erika Burri,1759,India is buying lots of crude oil from Russia. Who really benefits?,https://www.nzz.ch/english/india-is-buying-lots-of-crude-oil-from-russia-who-benefits-ld.1867852
2024-10-24_english_course-growth-brics-alliance-intends-expand-global_ld1854065,1854065,2024-10-24,NZZ in English,International View,"Matthias Kamp, Hong Kong",1520,On course for growth: How the BRICS alliance intends to expand its global footprint,https://www.nzz.ch/english/brics-group-sets-sights-on-strength-through-integration-ld.1854065
2025-04-10_english_trump-tariff-shock-threatens-tarnish-shipowners-golden_ld1879272,1879272,2025-04-10,NZZ in English,International View,"Benjamin Triebe, Rotterdam",2476,Trump tariff shock threatens to tarnish shipowners' golden era,https://www.nzz.ch/english/us-tariffs-add-to-mounting-worries-for-shipping-sector-ld.1879272
2024-12-10_english_france-s-political-crisis-being-fueled-gap_ld1861505,1861505,2024-12-10,NZZ in English,Inside Europe,Peter A. Fischer,1639,France's political crisis is being fueled by the gap between expectations and reality,https://www.nzz.ch/english/frances-political-crisis-is-due-to-economic-illusions-ld.1861505
2026-04-28_meinung_europe-needs-more-own-energy-wind-sun_ld10004400,10004400,2026-04-28,Meinung,Kommentar,Peter Rásonyi,1583,Europe needs more of its own energy – wind and sun are not enough,https://www.nzz.ch/meinung/europa-braucht-mehr-eigene-energie-wind-und-sonne-reichen-laengst-nicht-aus-ld.10004400
2025-04-14_meinung_tariff-shock-financial-crisis-2-0-lack_ld1879864,1879864,2025-04-14,Meinung,Kommentar,Peter A. Fischer,1545,Tariff shock and financial crisis 2.0: The lack of respect for America's institutions is dangerous,https://www.nzz.ch/meinung/zollschock-und-finanzkrise-20-gefaehrlich-ist-das-schwindende-vertrauen-in-amerikas-institutionen-ld.1879864
2025-06-24_feuilleton_already-one-million-dead-wounded-yet-russia_ld1889139,1889139,2025-06-24,Feuilleton,,Sergei Gerasimow,1829,Already one million dead and wounded – yet Russia is proud of it,https://www.nzz.ch/feuilleton/bereits-eine-million-tote-und-verwundete-doch-russland-ist-stolz-darauf-ld.1889139
2025-02-13_mobilitaet_high-tech-without-driver-rocky-road-autonomous_ld1870507,1870507,2025-02-13,Mobilität,,Eberhard Krummheuer,1576,High-tech without a driver: The rocky road of autonomous buses in public transport,https://www.nzz.ch/mobilitaet/hightech-ohne-chauffeur-der-steinige-weg-der-autonomen-busse-im-oeffentlichen-verkehr-ld.1870507
