# NZZ FlexRead — every online article NZZ published on 2026-08-27 (Europe/Zurich). Generated from dragon (Livingdocs content type: 'article').
# Re-pack:  python3 hackathon/_tools/kenny_pack.py <this folder>
10020811   # 05:00 | Zürich |  | 1840w | Leidende Fische, steckengebliebene Lastwagen und aufgelaufene Schiffe – wie der Ausnahmezu
10021300   # 15:05 | Feuilleton |  | 997w | Dolly Parton: Ein Darling für die Armen und die Reichen, die Schwarzen und die Weissen, di
10020721   # 15:06 | Startseite (Deutschland) |  | 1299w | Es ist eine Wahl, auf die ganz Deutschland schaut: Was steht in Sachsen-Anhalt auf dem Spi
10021277   # 15:31 | Technologie | Interview | 1224w | Der Kronzeuge im Meta-Prozess mahnt: «Instagram ist ein Dienst, der Fremde in die Schlafzi
1890876   # 16:00 | Schweiz |  | 1407w | War er ein Gaga-Rechtsextremist? Andreas Glarner tritt zurück
10021256   # 16:01 | International |  | 755w | Die Sturzflut trifft Pekings strategischen Korridor durch den Himalaja
10021284   # 16:03 | International |  | 625w | Sieben Schiessereien in fünf Tagen: In Brüssel eskaliert der Drogenkrieg
10021265   # 16:05 | Zürich |  | 382w | Rot-Grün lässt nicht locker: Das Zürcher Stadtparlament will Bargeldzahlungen für Sans-Pap
10021347   # 16:09 | Startseite (Deutschland) |  | 297w | Zwei Tote nach Gewalttat in Brandenburger Schule – Verdächtiger festgenommen
10021278   # 16:55 | Schweiz |  | 855w | Der Akademiker-Absturz: Sie sind häufiger erwerbslos als der Durchschnittsschweizer, oft n
10020356   # 17:16 | Schweiz |  | 831w | Pfister plant ein Drohnen- und Robotikzentrum für die Armee und zivile Blaulichtorganisati
10021338   # 17:37 | Sport |  | 931w | Marc Lüthi ist neuer Präsident von Swiss Ice Hockey – kann der temperamentvolle Macher das
10021241   # 18:00 | Der andere Blick | Der andere Blick | 1438w | Für die CDU ist alles zu spät
10021389   # 19:24 | Sport |  | 297w | Sina Frei im Short Track WM-Dritte – Gold an Österreicherin Stigger
10021390   # 19:35 | Schweiz |  | 927w | Valérie Dittli gründet eine Liberale Bewegung – die Waadtländer Linke dürfte sich die Händ
10021381   # 20:09 | Video | Video | 377w | So hat sich die Sturzflut ihren Weg durch Nepal gebahnt
10021395   # 20:52 | Sport |  | 928w | Zwei Weltrekorde bei Weltklasse Zürich – und fast wären es noch mehr geworden: die magisch
10021397   # 21:27 | Sport |  | 110w | Nächster Weltrekord im Letzigrund: Die Amerikanerin Masai Russell läuft eine Bestzeit über
10021400   # 22:32 | Sport |  | 485w | Lugano und Thun stehen in der Ligaphase der Conference League – Sion und St. Gallen scheid
10013289   # 23:15 | Sport |  | 997w | Ein Sturmlauf der Extraklasse: Audrey Werro gewinnt im Stil einer Championne
