file,document_id,published,section,genre,authors,words,headline_en,url
2026-08-27_feuilleton-kunst_architektur_art-salvation-yayoi-kusama-queen-dots-dies_ld10021250,10021250,2026-08-27,Feuilleton,,"Kerstin Stremmel, Philipp Meier",952,"Art her salvation: Yayoi Kusama, Queen of Dots, dies at 97",https://www.nzz.ch/feuilleton/kunst_architektur/die-kunst-war-fuer-sie-lebensrettend-jetzt-ist-yayoi-kusama-die-koenigin-der-punkte-im-alter-von-97-jahren-gestorben-ld.10021250
2026-08-27_gesellschaft-tisch-oder-theke_meat-fed-but-not-without-needs_ld10020766,10020766,2026-08-27,Gesellschaft,,Urs Bühler,740,"Meat-fed, but not without needs",https://www.nzz.ch/gesellschaft/tisch-oder-theke/fleisch-aber-nicht-wunschlos-genaehrt-ld.10020766
2026-08-27_meinung_danger-loose-alliances-china-russia-others-help_ld10020960,10020960,2026-08-27,Meinung,Gastkommentar,Thomas Wright,950,"The danger of loose alliances: China, Russia, and others help each other. A formal alliance is not necessary for this",https://www.nzz.ch/meinung/die-gefahr-loser-bande-china-russland-und-co-helfen-einander-ein-festes-buendnis-braucht-es-dazu-nicht-ld.10020960
2026-08-27_wirtschaft_these-three-municipalities-zurich-area-most-attractive_ld10020248,10020248,2026-08-27,Wirtschaft,,Andrea Martel,1000,These three municipalities in the Zurich area are most attractive for families,https://www.nzz.ch/wirtschaft/wohnattraktivitaet-warum-aarau-fuer-familien-vor-zuerich-liegt-ld.10020248
2026-08-27_zuerich_fcz-ultras-raid-gc-fans-sports-hall_ld10021159,10021159,2026-08-27,Zürich,,"Michael von Ledebur, Fabian Baumgartner",1182,FCZ ultras raid GC fans in a sports hall. They feel safe in the anonymous crowd — but then a candy becomes the undoing of a ringleader,https://www.nzz.ch/zuerich/brutale-attacke-von-fcz-ultras-ricola-bringt-ermittler-auf-die-spur-von-taeter-ld.10021159
2026-08-27_international_he-ordered-genocide-bosnia-herzegovina-now-war_ld10021325,10021325,2026-08-27,International,,Andreas Ernst,887,He ordered the genocide in Bosnia-Herzegovina: Now the war criminal Ratko Mladic is dead,https://www.nzz.ch/international/der-bosnisch-serbische-kriegsverbrecher-ratko-mladic-ist-tot-ld.10021325
2026-08-27_feuilleton-musik_dolly-parton-darling-poor-rich-blacks-whites_ld10021300,10021300,2026-08-27,Feuilleton,,Ueli Bernays,997,"Dolly Parton: A darling for the poor and the rich, Blacks and whites, Republicans and Democrats",https://www.nzz.ch/feuilleton/musik/dolly-parton-die-ikone-zwischen-gesellschaftlichen-graeben-ld.10021300
2026-08-27_deutschland-politik_election-all-germany-watches-what-s-stake_ld10020721,10020721,2026-08-27,Startseite (Deutschland),,"Eric Matt, Berlin",1299,An election all of Germany watches: What's at stake in Saxony-Anhalt?,https://www.nzz.ch/deutschland/politik/es-ist-eine-wahl-auf-die-ganz-deutschland-schaut-was-steht-in-sachsen-anhalt-auf-dem-spiel-ld.10020721
2026-08-27_technologie_key-witness-meta-trial-warns-instagram-service_ld10021277,10021277,2026-08-27,Technologie,Interview,Gioia da Silva,1224,The key witness in the meta-trial warns: «Instagram is a service that invites strangers into our children's bedrooms at night.»,https://www.nzz.ch/technologie/der-kronzeuge-im-meta-prozess-warnt-instagram-ist-ein-dienst-der-fremde-in-die-schlafzimmer-unserer-kinder-einlaedt-in-der-nacht-ld.10021277
2026-08-27_schweiz_was-he-gaga-far-right-extremist-andreas_ld1890876,1890876,2026-08-27,Schweiz,,Andrea Fopp,1407,Was he a «gaga far-right extremist»? Andreas Glarner resigns,https://www.nzz.ch/schweiz/der-gaga-rechtsextremist-ld.1890876
2026-08-27_international_flash-flood-hits-beijing-s-strategic-corridor_ld10021256,10021256,2026-08-27,International,,Katrin Büchenbacher,755,Flash flood hits Beijing's strategic corridor through the Himalayas,https://www.nzz.ch/international/sturzflut-bei-nepal-und-china-warum-diese-handelsroute-so-wichtig-ist-ld.10021256
2026-08-27_international_seven-shootings-five-days-brussels-drug-war_ld10021284,10021284,2026-08-27,International,,Jonas Roth,625,Seven shootings in five days: Brussels drug war escalates,https://www.nzz.ch/international/schiessereien-in-bruessel-drogenkriminalitaet-ausser-kontrolle-ld.10021284
2026-08-27_zuerich_red-green-refuses-give-up-zurich-city_ld10021265,10021265,2026-08-27,Zürich,,Daniel Fritzsche,382,Red-Green refuses to give up: Zurich City Parliament wants to fight for cash payments for undocumented migrants before the Federal Supreme Court,https://www.nzz.ch/zuerich/bargeld-fuer-sans-papiers-zuercher-streit-erreicht-naechste-instanz-ld.10021265
2026-08-28_deutschland-panorama_two-dead-after-act-violence-brandenburg-school_ld10021347,10021347,2026-08-28,Startseite (Deutschland),,,297,Two dead after act of violence at Brandenburg school – suspect arrested,https://www.nzz.ch/deutschland/panorama/mindestens-zwei-tote-nach-gewalttat-in-brandenburger-schule-grosser-polizeieinsatz-ld.10021347
2026-08-27_schweiz_academic-slump-they-more-frequently-unemployed-than_ld10021278,10021278,2026-08-27,Schweiz,,Sebastian Briellmann,855,"The academic slump: They are more frequently unemployed than the average Swiss, often only temporarily employed – and in part-time roles at that",https://www.nzz.ch/schweiz/der-akademiker-absturz-sie-sind-haeufiger-erwerbslos-als-der-durchschnittsschweizer-oft-nur-befristet-angestellt-und-das-auch-noch-in-teilzeit-ld.10021278
2026-08-27_schweiz-sicherheitspolitik_pfister-plans-drone-robotics-center-army-civilian_ld10020356,10020356,2026-08-27,Schweiz,,"Selina Berner, Thun",831,Pfister Plans Drone and Robotics Center for Army and Civilian Emergency Services,https://www.nzz.ch/schweiz/sicherheitspolitik/pfister-plant-ein-drohnen-und-robotikzentrum-fuer-die-armee-und-zivile-blaulichtorganisationen-ld.10020356
2026-08-28_sport-eishockey_marc-luthi-new-president-swiss-ice-hockey_ld10021338,10021338,2026-08-28,Sport,,Nicola Berger,931,Marc Lüthi is the new President of Swiss Ice Hockey – can the dynamic leader bring peace to Swiss ice hockey?,https://www.nzz.ch/sport/eishockey/marc-luethi-ist-neuer-praesident-von-swiss-ice-hockey-kann-der-temperamentvolle-macher-das-schweizer-eishockey-befrieden-ld.10021338
2026-08-27_der-andere-blick_cdu-it-too-late_ld10021241,10021241,2026-08-27,Der andere Blick,Der andere Blick,"Beatrice Achterberg, Berlin",1438,"For the CDU, it is too late",https://www.nzz.ch/der-andere-blick/fuer-die-cdu-ist-alles-zu-spaet-ld.10021241
2026-08-27_sport_sina-frei-finishes-third-short-track-world_ld10021389,10021389,2026-08-27,Sport,,,297,Sina Frei finishes third in short track world championship – gold for Austria's Stigger,https://www.nzz.ch/sport/sina-frei-im-short-track-wm-dritte-gold-an-oesterreicherin-stigger-ld.10021389
2026-08-28_schweiz_valerie-dittli-founds-liberal-movement-vaud-s_ld10021390,10021390,2026-08-28,Schweiz,,"Matthias Sander, Lausanne",927,Valérie Dittli founds a liberal movement – Vaud's left is likely to rub its hands together,https://www.nzz.ch/schweiz/valerie-dittli-verlaesst-die-waadtlaender-mitte-und-will-eine-eigene-partei-gruenden-ld.10021390
2026-08-27_video_flash-flood-made-way-through-nepal_ld10021381,10021381,2026-08-27,Video,Video,"Simon Knolmayer, Raca Wita",377,This is how the flash flood made its way through Nepal,https://www.nzz.ch/video/so-hat-sich-die-sturzflut-ihren-weg-durch-nepal-gebahnt-ld.10021381
2026-08-27_sport-leichtathletik_two-world-records-weltklasse-zurich-almost-more_ld10021395,10021395,2026-08-27,Sport,,"Remo Geisser, Eva Breitenstein",928,Two world records at Weltklasse Zurich – and almost more: a magical night at Letzigrund,https://www.nzz.ch/sport/leichtathletik/weltrekord-fuer-dos-santos-in-zuerich-ld.10021395
2026-08-27_sport_next-world-record-letzigrund-american-masai-russell_ld10021397,10021397,2026-08-27,Sport,,,110,Next world record at Letzigrund: American Masai Russell runs best time in 100-meter hurdles,https://www.nzz.ch/sport/naechster-weltrekord-im-letzigrund-die-amerikanerin-masai-russell-laeuft-eine-bestzeit-ueber-100-meter-huerden-ld.10021397
2026-08-27_sport_lugano-thun-reach-conference-league-group-stage_ld10021400,10021400,2026-08-27,Sport,,,485,Lugano and Thun reach Conference League group stage – Sion and St. Gallen eliminated,https://www.nzz.ch/sport/st-gallen-scheitert-in-den-playoffs-an-nordsjaelland-ld.10021400
2026-08-27_sport-leichtathletik_first-class-run-audrey-werro-wins-champion_ld10013289,10013289,2026-08-27,Sport,,Remo Geisser,997,A first-class run: Audrey Werro wins in champion style,https://www.nzz.ch/sport/leichtathletik/ein-sturmlauf-der-extraklasse-audrey-werro-gewinnt-im-stil-einer-championne-ld.10013289
